time,RTD.CH1.sample_ts_ms
2026-03-06 21:17:47.314704,11088587
2026-03-06 21:17:47.314769,11088602
2026-03-06 21:17:47.314829,11088617
2026-03-06 21:17:47.314892,11088632
2026-03-06 21:17:47.314938,11088647
2026-03-06 21:17:47.314984,11088662
2026-03-06 21:17:47.449098,11088677
2026-03-06 21:17:47.449223,11088692
2026-03-06 21:17:47.449261,11088707
2026-03-06 21:17:47.449316,11088722
2026-03-06 21:17:47.449356,11088737
2026-03-06 21:17:47.449423,11088752
2026-03-06 21:17:47.449488,11088767
2026-03-06 21:17:47.449539,11088782
2026-03-06 21:17:47.449606,11088797
2026-03-06 21:17:47.584601,11088812
2026-03-06 21:17:47.584755,11088827
2026-03-06 21:17:47.584801,11088842
2026-03-06 21:17:47.5849,11088857
2026-03-06 21:17:47.584974,11088872
2026-03-06 21:17:47.585029,11088887
2026-03-06 21:17:47.585105,11088902
2026-03-06 21:17:47.585185,11088917
2026-03-06 21:17:47.585245,11088932
2026-03-06 21:17:47.719075,11088947
2026-03-06 21:17:47.719202,11088962
2026-03-06 21:17:47.719278,11088977
2026-03-06 21:17:47.719354,11088992
2026-03-06 21:17:47.719438,11089007
2026-03-06 21:17:47.719515,11089022
2026-03-06 21:17:47.719564,11089037
2026-03-06 21:17:47.719618,11089052
2026-03-06 21:17:47.719641,11089067
2026-03-06 21:17:47.85454,11089082
2026-03-06 21:17:47.854675,11089097
2026-03-06 21:17:47.854802,11089112
2026-03-06 21:17:47.854905,11089127
2026-03-06 21:17:47.855011,11089142
2026-03-06 21:17:47.855046,11089157
2026-03-06 21:17:47.85509,11089172
2026-03-06 21:17:47.85514,11089187
2026-03-06 21:17:47.855235,11089202
2026-03-06 21:17:47.989039,11089217
2026-03-06 21:17:47.989118,11089232
2026-03-06 21:17:47.989151,11089247
2026-03-06 21:17:47.989187,11089262
2026-03-06 21:17:47.989217,11089277
2026-03-06 21:17:47.989249,11089292
2026-03-06 21:17:47.989279,11089307
2026-03-06 21:17:47.989308,11089322
2026-03-06 21:17:47.989339,11089337
2026-03-06 21:17:48.124268,11089352
2026-03-06 21:17:48.124364,11089367
2026-03-06 21:17:48.124403,11089382
2026-03-06 21:17:48.124418,11089397
2026-03-06 21:17:48.124445,11089412
2026-03-06 21:17:48.124466,11089427
2026-03-06 21:17:48.124488,11089442
2026-03-06 21:17:48.124511,11089457
2026-03-06 21:17:48.124529,11089472
2026-03-06 21:17:48.264219,11089492
2026-03-06 21:17:48.264332,11089507
2026-03-06 21:17:48.2644,11089522
2026-03-06 21:17:48.264462,11089537
2026-03-06 21:17:48.264522,11089552
2026-03-06 21:17:48.264591,11089567
2026-03-06 21:17:48.264652,11089582
2026-03-06 21:17:48.264712,11089597
2026-03-06 21:17:48.264737,11089612
2026-03-06 21:17:48.399307,11089627
2026-03-06 21:17:48.399488,11089642
2026-03-06 21:17:48.399543,11089657
2026-03-06 21:17:48.399587,11089672
2026-03-06 21:17:48.39965,11089687
2026-03-06 21:17:48.399699,11089702
2026-03-06 21:17:48.399768,11089717
2026-03-06 21:17:48.399803,11089732
