time,TC.CH5.sample_ts_ms
2026-03-06 21:15:14.761186,10936020
2026-03-06 21:15:14.761315,10936034
2026-03-06 21:15:14.761435,10936048
2026-03-06 21:15:14.761546,10936062
2026-03-06 21:15:14.761653,10936076
2026-03-06 21:15:14.761743,10936090
2026-03-06 21:15:14.761802,10936104
2026-03-06 21:15:14.761858,10936118
2026-03-06 21:15:14.761905,10936132
2026-03-06 21:15:14.88803,10936147
2026-03-06 21:15:14.888102,10936161
2026-03-06 21:15:14.888173,10936175
2026-03-06 21:15:14.888237,10936189
2026-03-06 21:15:14.888301,10936203
2026-03-06 21:15:14.88837,10936217
2026-03-06 21:15:14.888398,10936231
2026-03-06 21:15:14.888414,10936245
2026-03-06 21:15:14.888446,10936259
2026-03-06 21:15:15.014833,10936274
2026-03-06 21:15:15.014921,10936288
2026-03-06 21:15:15.015019,10936302
2026-03-06 21:15:15.015097,10936316
2026-03-06 21:15:15.015196,10936330
2026-03-06 21:15:15.015268,10936344
2026-03-06 21:15:15.015308,10936358
2026-03-06 21:15:15.015338,10936372
2026-03-06 21:15:15.015393,10936386
2026-03-06 21:15:15.146833,10936405
2026-03-06 21:15:15.146877,10936419
2026-03-06 21:15:15.146919,10936433
2026-03-06 21:15:15.146958,10936447
2026-03-06 21:15:15.146999,10936461
2026-03-06 21:15:15.147047,10936475
2026-03-06 21:15:15.147088,10936489
2026-03-06 21:15:15.147132,10936503
2026-03-06 21:15:15.147184,10936518
2026-03-06 21:15:15.273582,10936533
2026-03-06 21:15:15.273671,10936547
2026-03-06 21:15:15.273758,10936561
2026-03-06 21:15:15.273835,10936575
2026-03-06 21:15:15.273917,10936589
2026-03-06 21:15:15.273999,10936603
2026-03-06 21:15:15.274083,10936617
2026-03-06 21:15:15.274111,10936631
2026-03-06 21:15:15.274132,10936645
2026-03-06 21:15:15.40078,10936660
2026-03-06 21:15:15.400863,10936674
2026-03-06 21:15:15.400896,10936688
2026-03-06 21:15:15.400918,10936702
2026-03-06 21:15:15.400936,10936716
2026-03-06 21:15:15.400963,10936730
2026-03-06 21:15:15.400974,10936744
2026-03-06 21:15:15.400993,10936758
2026-03-06 21:15:15.401005,10936772
2026-03-06 21:15:15.528191,10936787
2026-03-06 21:15:15.528302,10936801
2026-03-06 21:15:15.528371,10936815
2026-03-06 21:15:15.528439,10936829
2026-03-06 21:15:15.528736,10936843
2026-03-06 21:15:15.528833,10936857
2026-03-06 21:15:15.528866,10936871
2026-03-06 21:15:15.528906,10936885
2026-03-06 21:15:15.528982,10936899
2026-03-06 21:15:15.655108,10936914
2026-03-06 21:15:15.655217,10936928
2026-03-06 21:15:15.655252,10936942
2026-03-06 21:15:15.655332,10936956
2026-03-06 21:15:15.655375,10936970
2026-03-06 21:15:15.655468,10936984
2026-03-06 21:15:15.655502,10936998
2026-03-06 21:15:15.655566,10937012
2026-03-06 21:15:15.655611,10937026
2026-03-06 21:15:15.781968,10937041
2026-03-06 21:15:15.782033,10937055
2026-03-06 21:15:15.782091,10937069
2026-03-06 21:15:15.782156,10937083
2026-03-06 21:15:15.782341,10937097
2026-03-06 21:15:15.782433,10937111
2026-03-06 21:15:15.782465,10937125
2026-03-06 21:15:15.782781,10937139
2026-03-06 21:15:15.782938,10937153
2026-03-06 21:15:15.908804,10937168
2026-03-06 21:15:15.908826,10937182
2026-03-06 21:15:15.908837,10937196
2026-03-06 21:15:15.908862,10937210
2026-03-06 21:15:15.908881,10937224
2026-03-06 21:15:15.9089,10937238
2026-03-06 21:15:15.908912,10937252
2026-03-06 21:15:15.908923,10937266
2026-03-06 21:15:15.908938,10937280
2026-03-06 21:15:16.036239,10937295
2026-03-06 21:15:16.036341,10937309
2026-03-06 21:15:16.036389,10937323
