time,ACT.Fuel_Fill_Vent.sample_ts_ms
2026-03-06 21:31:02.106077,11883542
2026-03-06 21:31:02.205539,11883683
2026-03-06 21:31:02.207964,11883644
2026-03-06 21:31:02.307492,11883785
2026-03-06 21:31:02.309843,11883746
2026-03-06 21:31:02.409137,11883887
2026-03-06 21:31:02.412102,11883848
2026-03-06 21:31:02.511315,11883989
2026-03-06 21:31:02.514211,11883950
2026-03-06 21:31:02.613125,11884091
2026-03-06 21:31:02.616137,11884052
2026-03-06 21:31:02.715638,11884193
2026-03-06 21:31:02.717946,11884154
2026-03-06 21:31:02.817182,11884295
2026-03-06 21:31:02.82009,11884256
2026-03-06 21:31:02.919396,11884397
2026-03-06 21:31:02.921737,11884358
2026-03-06 21:31:03.021471,11884499
2026-03-06 21:31:03.023865,11884460
2026-03-06 21:31:03.123579,11884601
2026-03-06 21:31:03.126,11884562
2026-03-06 21:31:03.225321,11884703
2026-03-06 21:31:03.227698,11884664
2026-03-06 21:31:03.32765,11884805
2026-03-06 21:31:03.329913,11884766
2026-03-06 21:31:03.429408,11884907
2026-03-06 21:31:03.431845,11884868
2026-03-06 21:31:03.531094,11885009
2026-03-06 21:31:03.533965,11884970
2026-03-06 21:31:03.63371,11885111
2026-03-06 21:31:03.636118,11885072
2026-03-06 21:31:03.735488,11885213
2026-03-06 21:31:03.737804,11885174
2026-03-06 21:31:03.837047,11885315
2026-03-06 21:31:03.840005,11885276
2026-03-06 21:31:03.93947,11885417
2026-03-06 21:31:03.941881,11885378
2026-03-06 21:31:04.041383,11885519
2026-03-06 21:31:04.044165,11885480
2026-03-06 21:31:04.142407,11885620
2026-03-06 21:31:04.145965,11885582
2026-03-06 21:31:04.244042,11885722
2026-03-06 21:31:04.247657,11885684
2026-03-06 21:31:04.346344,11885824
2026-03-06 21:31:04.349824,11885786
2026-03-06 21:31:04.448394,11885926
2026-03-06 21:31:04.451987,11885888
2026-03-06 21:31:04.550122,11886028
2026-03-06 21:31:04.55419,11885990
2026-03-06 21:31:04.652453,11886130
2026-03-06 21:31:04.656123,11886092
2026-03-06 21:31:04.754087,11886232
2026-03-06 21:31:04.758184,11886194
2026-03-06 21:31:04.856338,11886334
2026-03-06 21:31:04.859875,11886296
2026-03-06 21:31:04.95809,11886436
2026-03-06 21:31:04.962098,11886398
2026-03-06 21:31:05.060313,11886538
2026-03-06 21:31:05.063903,11886500
2026-03-06 21:31:05.162192,11886640
2026-03-06 21:31:05.165779,11886602
2026-03-06 21:31:05.264317,11886742
2026-03-06 21:31:05.267786,11886704
2026-03-06 21:31:05.366625,11886844
2026-03-06 21:31:05.369898,11886806
2026-03-06 21:31:05.468423,11886946
2026-03-06 21:31:05.471912,11886908
2026-03-06 21:31:05.570095,11887048
2026-03-06 21:31:05.573701,11887010
2026-03-06 21:31:05.672329,11887150
2026-03-06 21:31:05.675865,11887112
2026-03-06 21:31:05.774239,11887252
2026-03-06 21:31:05.777963,11887214
2026-03-06 21:31:05.876304,11887354
2026-03-06 21:31:05.87978,11887316
2026-03-06 21:31:05.977207,11887455
2026-03-06 21:31:05.982148,11887418
2026-03-06 21:31:06.079641,11887557
2026-03-06 21:31:06.083732,11887520
