time,ACT.LOX_Dump.sample_ts_ms
2026-03-06 21:21:21.62032,11303060
2026-03-06 21:21:21.663303,11303142
2026-03-06 21:21:21.722323,11303162
2026-03-06 21:21:21.765298,11303244
2026-03-06 21:21:21.823957,11303264
2026-03-06 21:21:21.867365,11303346
2026-03-06 21:21:21.926238,11303366
2026-03-06 21:21:21.969097,11303448
2026-03-06 21:21:22.028102,11303468
2026-03-06 21:21:22.0715,11303550
2026-03-06 21:21:22.130243,11303570
2026-03-06 21:21:22.173399,11303652
2026-03-06 21:21:22.232247,11303672
2026-03-06 21:21:22.275307,11303754
2026-03-06 21:21:22.334317,11303774
2026-03-06 21:21:22.37731,11303856
2026-03-06 21:21:22.436377,11303876
2026-03-06 21:21:22.479213,11303958
2026-03-06 21:21:22.538515,11303978
2026-03-06 21:21:22.581295,11304060
2026-03-06 21:21:22.640293,11304080
2026-03-06 21:21:22.683239,11304162
2026-03-06 21:21:22.742206,11304182
2026-03-06 21:21:22.785213,11304264
2026-03-06 21:21:22.844435,11304284
2026-03-06 21:21:22.886882,11304366
2026-03-06 21:21:22.946144,11304386
2026-03-06 21:21:22.98881,11304468
2026-03-06 21:21:23.048245,11304488
2026-03-06 21:21:23.091316,11304570
2026-03-06 21:21:23.150437,11304590
2026-03-06 21:21:23.192906,11304672
2026-03-06 21:21:23.252231,11304692
2026-03-06 21:21:23.295277,11304774
2026-03-06 21:21:23.353847,11304794
2026-03-06 21:21:23.397082,11304876
2026-03-06 21:21:23.456132,11304896
2026-03-06 21:21:23.499177,11304978
2026-03-06 21:21:23.55849,11304998
2026-03-06 21:21:23.601246,11305080
2026-03-06 21:21:23.660347,11305100
2026-03-06 21:21:23.703149,11305182
2026-03-06 21:21:23.762387,11305202
2026-03-06 21:21:23.805418,11305284
2026-03-06 21:21:23.864657,11305304
2026-03-06 21:21:23.906787,11305386
2026-03-06 21:21:23.965918,11305406
2026-03-06 21:21:24.009272,11305488
2026-03-06 21:21:24.068606,11305508
2026-03-06 21:21:24.111245,11305590
2026-03-06 21:21:24.17014,11305610
2026-03-06 21:21:24.213091,11305692
2026-03-06 21:21:24.272143,11305712
2026-03-06 21:21:24.314798,11305794
2026-03-06 21:21:24.374078,11305814
2026-03-06 21:21:24.417145,11305896
2026-03-06 21:21:24.476112,11305916
2026-03-06 21:21:24.518905,11305998
2026-03-06 21:21:24.578184,11306018
2026-03-06 21:21:24.621285,11306100
2026-03-06 21:21:24.680462,11306120
2026-03-06 21:21:24.723326,11306202
2026-03-06 21:21:24.781986,11306222
2026-03-06 21:21:24.824784,11306304
2026-03-06 21:21:24.884144,11306324
2026-03-06 21:21:24.926974,11306406
2026-03-06 21:21:24.986065,11306426
2026-03-06 21:21:25.029078,11306508
2026-03-06 21:21:25.088396,11306528
2026-03-06 21:21:25.131521,11306610
2026-03-06 21:21:25.190281,11306630
2026-03-06 21:21:25.233034,11306712
2026-03-06 21:21:25.292264,11306732
2026-03-06 21:21:25.335186,11306814
2026-03-06 21:21:25.394049,11306834
2026-03-06 21:21:25.437462,11306916
2026-03-06 21:21:25.496591,11306936
2026-03-06 21:21:25.539332,11307018
2026-03-06 21:21:25.59825,11307038
2026-03-06 21:21:25.641184,11307120
2026-03-06 21:21:25.700631,11307140
2026-03-06 21:21:25.743423,11307222
2026-03-06 21:21:25.802517,11307242
2026-03-06 21:21:25.845057,11307324
2026-03-06 21:21:25.904062,11307344
2026-03-06 21:21:25.947108,11307426
2026-03-06 21:21:26.006241,11307446
2026-03-06 21:21:26.049545,11307528
2026-03-06 21:21:26.10815,11307548
2026-03-06 21:21:26.151221,11307630
2026-03-06 21:21:26.209979,11307650
2026-03-06 21:21:26.252764,11307732
2026-03-06 21:21:26.312445,11307752
