time,ACT.GN2_Vent.sample_ts_ms
2026-03-06 21:20:03.283605,11224724
2026-03-06 21:20:03.326813,11224806
2026-03-06 21:20:03.385683,11224826
2026-03-06 21:20:03.428847,11224908
2026-03-06 21:20:03.487579,11224928
2026-03-06 21:20:03.530958,11225010
2026-03-06 21:20:03.589388,11225030
2026-03-06 21:20:03.632896,11225112
2026-03-06 21:20:03.691503,11225132
2026-03-06 21:20:03.734986,11225214
2026-03-06 21:20:03.793641,11225234
2026-03-06 21:20:03.836744,11225316
2026-03-06 21:20:03.895485,11225336
2026-03-06 21:20:03.93901,11225418
2026-03-06 21:20:03.997558,11225438
2026-03-06 21:20:04.040554,11225520
2026-03-06 21:20:04.09949,11225540
2026-03-06 21:20:04.142704,11225622
2026-03-06 21:20:04.201357,11225642
2026-03-06 21:20:04.244716,11225724
2026-03-06 21:20:04.303365,11225744
2026-03-06 21:20:04.346513,11225826
2026-03-06 21:20:04.405507,11225846
2026-03-06 21:20:04.448546,11225928
2026-03-06 21:20:04.50724,11225948
2026-03-06 21:20:04.550887,11226030
2026-03-06 21:20:04.609203,11226050
2026-03-06 21:20:04.652877,11226132
2026-03-06 21:20:04.71152,11226152
2026-03-06 21:20:04.754668,11226234
2026-03-06 21:20:04.813498,11226254
2026-03-06 21:20:04.856474,11226336
2026-03-06 21:20:04.915608,11226356
2026-03-06 21:20:04.958798,11226438
2026-03-06 21:20:05.017519,11226458
2026-03-06 21:20:05.060704,11226540
2026-03-06 21:20:05.119633,11226560
2026-03-06 21:20:05.162911,11226642
2026-03-06 21:20:05.221438,11226662
2026-03-06 21:20:05.264726,11226744
2026-03-06 21:20:05.323652,11226764
2026-03-06 21:20:05.366418,11226846
2026-03-06 21:20:05.425449,11226866
2026-03-06 21:20:05.468519,11226948
2026-03-06 21:20:05.527301,11226968
2026-03-06 21:20:05.570493,11227050
2026-03-06 21:20:05.629777,11227070
2026-03-06 21:20:05.672876,11227152
2026-03-06 21:20:05.731285,11227172
2026-03-06 21:20:05.774582,11227254
2026-03-06 21:20:05.833419,11227274
2026-03-06 21:20:05.876831,11227356
2026-03-06 21:20:05.935291,11227376
2026-03-06 21:20:05.978775,11227458
2026-03-06 21:20:06.037674,11227478
2026-03-06 21:20:06.080918,11227560
2026-03-06 21:20:06.13936,11227580
2026-03-06 21:20:06.183047,11227662
2026-03-06 21:20:06.24145,11227682
2026-03-06 21:20:06.284588,11227764
2026-03-06 21:20:06.343829,11227784
2026-03-06 21:20:06.386903,11227866
2026-03-06 21:20:06.445244,11227886
2026-03-06 21:20:06.488564,11227968
2026-03-06 21:20:06.547559,11227988
2026-03-06 21:20:06.590836,11228070
2026-03-06 21:20:06.649531,11228090
2026-03-06 21:20:06.692767,11228172
2026-03-06 21:20:06.751438,11228192
2026-03-06 21:20:06.794969,11228274
2026-03-06 21:20:06.853682,11228294
2026-03-06 21:20:06.896552,11228376
2026-03-06 21:20:06.955614,11228396
2026-03-06 21:20:06.998983,11228478
2026-03-06 21:20:07.057358,11228498
2026-03-06 21:20:07.100753,11228580
2026-03-06 21:20:07.159514,11228600
2026-03-06 21:20:07.202787,11228682
2026-03-06 21:20:07.261611,11228702
2026-03-06 21:20:07.30483,11228784
2026-03-06 21:20:07.363705,11228804
2026-03-06 21:20:07.406469,11228886
2026-03-06 21:20:07.465554,11228906
2026-03-06 21:20:07.509077,11228988
2026-03-06 21:20:07.56774,11229008
2026-03-06 21:20:07.610663,11229090
2026-03-06 21:20:07.669492,11229110
2026-03-06 21:20:07.712923,11229192
2026-03-06 21:20:07.771299,11229212
2026-03-06 21:20:07.814709,11229294
2026-03-06 21:20:07.873496,11229314
2026-03-06 21:20:07.917011,11229396
2026-03-06 21:20:07.975549,11229416
2026-03-06 21:20:08.01852,11229498
2026-03-06 21:20:08.077238,11229518
2026-03-06 21:20:08.120595,11229600
2026-03-06 21:20:08.179874,11229620
2026-03-06 21:20:08.2228,11229702
2026-03-06 21:20:08.281358,11229722
2026-03-06 21:20:08.324969,11229804
2026-03-06 21:20:08.38344,11229824
2026-03-06 21:20:08.426663,11229906
2026-03-06 21:20:08.485495,11229926
2026-03-06 21:20:08.528841,11230008
