time,PT_Cal.Ox_Upstream.raw_adc
2026-03-06 21:26:24.279747,220351148
2026-03-06 21:26:24.279801,220459701
2026-03-06 21:26:24.279879,220517011
2026-03-06 21:26:24.279955,219877159
2026-03-06 21:26:24.280036,220437451
2026-03-06 21:26:24.280143,220351148
2026-03-06 21:26:24.389217,219994476
2026-03-06 21:26:24.389264,219994476
2026-03-06 21:26:24.389331,219942560
2026-03-06 21:26:24.389384,219881878
2026-03-06 21:26:24.389444,220616124
2026-03-06 21:26:24.389505,219895363
2026-03-06 21:26:24.389587,220531844
2026-03-06 21:26:24.389646,220080778
2026-03-06 21:26:24.497784,220556117
2026-03-06 21:26:24.497841,220017401
2026-03-06 21:26:24.497904,220326201
2026-03-06 21:26:24.497969,220556117
2026-03-06 21:26:24.498039,220543307
2026-03-06 21:26:24.498299,220556117
2026-03-06 21:26:24.606819,220642420
2026-03-06 21:26:24.60688,220608033
2026-03-06 21:26:24.606941,220419920
2026-03-06 21:26:24.607018,218125487
2026-03-06 21:26:24.607098,220354520
2026-03-06 21:26:24.607135,220642420
2026-03-06 21:26:24.715406,220020771
2026-03-06 21:26:24.715491,219827939
2026-03-06 21:26:24.71552,220587806
2026-03-06 21:26:24.715596,220644442
2026-03-06 21:26:24.715705,220477231
2026-03-06 21:26:24.715911,220020771
2026-03-06 21:26:24.824684,219978294
2026-03-06 21:26:24.824786,219879181
2026-03-06 21:26:24.824847,219817825
2026-03-06 21:26:24.824888,219879181
2026-03-06 21:26:24.82493,219851537
2026-03-06 21:26:24.824998,219962787
2026-03-06 21:26:24.825126,219978294
2026-03-06 21:26:24.933857,219960090
2026-03-06 21:26:24.933947,220516337
2026-03-06 21:26:24.934003,220134044
2026-03-06 21:26:24.934063,220417897
2026-03-06 21:26:24.934121,219894689
2026-03-06 21:26:24.934162,219960090
2026-03-06 21:26:24.934204,219872439
2026-03-06 21:26:25.042725,220076058
2026-03-06 21:26:25.042793,219653311
2026-03-06 21:26:25.042834,220034256
2026-03-06 21:26:25.042922,220037628
2026-03-06 21:26:25.043099,219862325
2026-03-06 21:26:25.043181,220076058
2026-03-06 21:26:25.151531,219888621
2026-03-06 21:26:25.151627,219999196
2026-03-06 21:26:25.151881,219888621
2026-03-06 21:26:25.151891,219918286
2026-03-06 21:26:25.151988,220046393
2026-03-06 21:26:25.152216,220485996
2026-03-06 21:26:25.26072,220643768
2026-03-06 21:26:25.260803,220510943
2026-03-06 21:26:25.260872,220502178
2026-03-06 21:26:25.260912,220502178
2026-03-06 21:26:25.260961,220529147
2026-03-06 21:26:25.261033,220643768
